"lemma","word","kjv_def","strongs_def","derivation"
"G53","ἁγνός","chaste, clean, pure"," properly, clean, i.e. (figuratively) innocent, modest, perfect","from the same as G40 (ἅγιος);"
"G216","ἄλαλος","dumb"," mute","from G1 (Α) (as a negative particle) and G2980 (λαλέω);"
"G90","ἀδιαφθορία","uncorruptness"," incorruptibleness, i.e. (figuratively) purity (of doctrine)","from a derivative of a compound of G1 (Α) (as a negative particle) and a derivative of G1311 (διαφθείρω);"
"G2709","καταχθόνιος","under the earth"," subterranean, i.e. infernal (belonging to the world of departed spirits)","from G2596 (κατά) and (the ground);"
"G301","Ἀμώς","Amos"," Amos, an Israelite","of Hebrew origin (H0531);"
"G3715","ὄρεξις","lust"," excitement of the mind, i.e. longing after","from G3713 (ὀρέγομαι);"
"G2677","καταρτισμός","perfecting"," complete furnishing (objectively)","from G2675 (καταρτίζω);"
"G607","ἀποκεφαλίζω","behead"," to decapitate","from G575 (ἀπό) and G2776 (κεφαλή);"
"G3624","οἶκος","home, house(-hold), temple"," a dwelling (more or less extensive, literal or figurative); by implication, a family (more or less related, literally or figuratively)","of uncertain affinity;"
"G4774","συγγνώμη","permission"," fellow knowledge, i.e. concession","from a compound of G4862 (σύν) and G1097 (γινώσκω);"
"G4798","συγχράομαι","have dealings with"," to use jointly, i.e. (by implication) to hold intercourse in common","from G4862 (σύν) and G5530 (χράομαι);"
"G2201","ζεῦγος","yoke, pair"," a couple, i.e. a team (of oxen yoked together) or brace (of birds tied together)","from the same as G2218 (ζυγός);"
"G977","βιβρώσκω","eat"," to eat","a reduplicated and prolonged form of an obsolete primary verb (perhaps causative of G1006 (βόσκω));"
"G2775","κεφαλαιόω","wound in the head"," (specially) to strike on the head","from the same as G2774 (κεφάλαιον);"
"G1677","ἐλλογέω","impute, put on account"," to reckon in, i.e. attribute","from G1722 (ἐν) and G3056 (λόγος) (in the sense of account);"
"G2612","κατάδηλος","far more evident"," manifest","from G2596 (κατά) intensive and G1212 (δῆλος);"
"G4587","σεμνότης","gravity, honesty"," venerableness, i.e. probity","from G4586 (σεμνός);"
"G1607","ἐκπορεύομαι","come (forth, out of), depart, go (forth, out), issue, proceed (out of)"," to depart, be discharged, proceed, project","from G1537 (ἐκ) and G4198 (πορεύομαι);"
"G940","βασκαίνω","bewitch"," to malign, i.e. (by extension) to fascinate (by false representations)","akin to G5335 (φάσκω);"
"G854","ἀφανισμός","vanish away"," disappearance, i.e. (figuratively) abrogation","from G853 (ἀφανίζω);"
"G4","ἀβαρής","from being burdensome"," weightless, i.e. (figuratively) not burdensome","from G1 (Α) (as a negative particle) and G922 (βάρος);"
"G3583","ξηραίνω","dry up, pine away, be ripe, wither (away)"," to desiccate; by implication, to shrivel, to mature","from G3584 (ξηρός);"
"G3049","λογίζομαι","conclude, (ac-)count (of), + despise, esteem, impute, lay, number, reason, reckon, suppose, think (on)"," to take an inventory, i.e. estimate (literally or figuratively)","middle voice from G3056 (λόγος);"
"G91","ἀδικέω","hurt, injure, be an offender, be unjust, (do, suffer, take) wrong"," to be unjust, i.e. (actively) do wrong (morally, socially or physically)","from G94 (ἄδικος);"
"G662","ἀποτολμάω","be very bold"," to venture plainly","from G575 (ἀπό) and G5111 (τολμάω);"
"G3605","ὄζω","stink"," to scent (usually an ill ""odor"")","a primary verb (in a strengthened form);"
"G1358","διορύσσω","break through (up)"," to penetrate burglariously","from G1223 (διά) and G3736 (ὀρύσσω);"
"G26","ἀγάπη","(feast of) charity(-ably), dear, love"," love, i.e. affection or benevolence; specially (plural) a love-feast","from G25 (ἀγαπάω);"
"G3522","νηστεύω","fast"," to abstain from food (religiously)","from G3523 (νῆστις);"
"G2013","ἐπιτυγχάνω","obtain"," to chance upon, i.e. (by implication) to attain","from G1909 (ἐπί) and G5177 (τυγχάνω);"
"G5170","Τρύφαινα","Tryphena"," luxurious; Tryphæna, a Christian woman","from G5172 (τρυφή);"
"G3628","οἰκτιρμός","mercy"," pity","from G3627 (οἰκτείρω);"
"G3644","ὀλοθρευτής","destroyer"," a ruiner, i.e. (specially), a venomous serpent","from G3645 (ὀλοθρεύω);"
"G422","ἀνεπαίσχυντος","--that needeth not to be ashamed"," not ashamed, i.e. irreprehensible: ","from G1 (Α) (as a negative particle) and a presumed derivative of a compound of G1909 (ἐπί) and G153 (αἰσχύνομαι);"
"G2897","κραιπάλη","surfeiting"," properly, a headache (as a seizure of pain) from drunkenness, i.e. (by implication) a debauch (by analogy, a glut)","probably from the same as G726 (ἁρπάζω);"
"G3589","ὀγδοήκοντα","fourscore"," ten times eight","from G3590 (ὄγδοος);"
"G950","βεβαιόω","confirm, (e-)stablish"," to stabilitate (figuratively)","from G949 (βέβαιος);"
"G978","Βιθυνία","Bithynia"," Bithynia, a region of Asia","of uncertain derivation;"
"G2987","λαμπρότης","brightness"," brilliancy","from G2986 (λαμπρός);"
"G4483","ῥέω","command, make, say, speak (of)"," to utter, i.e. speak or say","perhaps akin (or identical) with G4482 (ῥέω) (through the idea of pouring forth);"
"G2834","Κνίδος","Cnidus"," Cnidus, a place in Asia Minor","probably of foreign origin;"
"G2329","θέρμη","heat"," warmth","from the base of G2330 (θέρος);"
"G3701","ὀπτασία","vision"," visuality, i.e. (concretely) an apparition","from a presumed derivative of G3700 (ὀπτάνομαι);"
"G2503","ἰῶτα","jot"," ""iota"", the name of the eighth letter of the Greek alphabet, put (figuratively) for a very small part of anything","of Hebrew origin (the tenth letter of the Hebrew alphabet);"
"G5588","ψιθυριστής","whisperer"," a secret calumniator","from the same as G5587 (ψιθυρισμός);"
"G4951","σύρω","drag, draw, hale"," to trail","probably akin to G138 (αἱρέομαι);"
"G328","ἀναζώννυμι","gird up"," to gird afresh","from G303 (ἀνά) and G2224 (ζώννυμι);"
"G2387","Ἰαμβρῆς","Jambres"," Jambres, an Egyptian","of Egyptian origin;"
"G4188","πόμα","drink"," a beverage","from the alternate of G4095 (πίνω);"
"G3063","λοιπόν","besides, finally, furthermore, (from) henceforth, moreover, now, + it remaineth, then"," something remaining (adverbially)","neuter singular of the same as G3062 (λοιποί);"
"G2482","Ἰταλία","Italy"," Italia, a region of Europe","probably of foreign origin;"
"G1504","εἰκών","image"," a likeness, i.e. (literally) statue, profile, or (figuratively) representation, resemblance","from G1503 (εἴκω);"
"G1993","ἐπιστομίζω","stop mouths"," to put something over the mouth, i.e. (figuratively) to silence","from G1909 (ἐπί) and G4750 (στόμα);"
"G1575","ἐκκλάω","break off"," to exscind","from G1537 (ἐκ) and G2806 (κλάω);"
"G3168","μεγαλειότης","magnificence, majesty, mighty power"," superbness, i.e. glory or splendor","from G3167 (μεγαλεῖος);"
"G131","αἱμοῤῥέω","diseased with an issue of blood"," to flow blood, i.e. have a hæmorrhage","from G129 (αἷμα) and G4482 (ῥέω);"
"G3058","λοιδορέω","revile"," to reproach, i.e. vilify","from G3060 (λοίδορος);"
"G2278","ἠχέω","roar, sound"," to make a loud noise, i.e. reverberate","from G2279 (ἦχος);"
"G3428","μοιχαλίς","adulteress(-ous, -y)"," an adulteress (literally or figuratively)","a prolonged form of the feminine of G3432 (μοιχός);"
"G482","ἀντιλαμβάνομαι","help, partaker, support"," to take hold of in turn, i.e. succor; also to participate","from G473 (ἀντί) and the middle voice of G2983 (λαμβάνω);"
"G4862","σύν","beside, with"," with or together (but much closer than G3326 (μετά) or G3844 (παρά)), i.e. by association, companionship, process, resemblance, possession, instrumentality, addition, etc.","a primary preposition denoting union;"
"G1007","Βοσόρ","Bosor"," Bosor (i.e. Beor), a Moabite","of Hebrew origin (H01160);"
"G51","ἀγνόημα","error"," a thing ignored, i.e. shortcoming","from G50 (ἀγνοέω);"
"G1331","διερωτάω","make enquiry for"," to question throughout, i.e. ascertain by interrogation","from G1223 (διά) and G2065 (ἐρωτάω);"
"G4908","συνετός","prudent"," mentally put (or putting) together, i.e. sagacious","from G4920 (συνίημι);"
"G1666","Ἐλισσαῖος","Elissæus"," Elissæus, an Israelite","of Hebrew origin (H0477);"
"G1780","ἐνταφιασμός","burying"," preparation for interment","from G1779 (ἐνταφιάζω);"
"G92","ἀδίκημα","evil doing, iniquity, matter of wrong"," a wrong done","from G91 (ἀδικέω);"
"G2658","καταντάω","attain, come"," to meet against, i.e. arrive at (literally or figuratively)","from G2596 (κατά) and a derivative of G473 (ἀντί);"
"G2920","κρίσις","accusation, condemnation, damnation, judgment","decision (subjectively or objectively, for or against); by extension, a tribunal; by implication, justice (especially, divine law)"
"G4914","συνήθεια","custom"," mutual habituation, i.e. usage","from a compound of G4862 (σύν) and G2239 (ἦθος);"
"G4185","πολυτελής","costly, very precious, of great price"," extremely expensive","from G4183 (πολύς) and G5056 (τέλος);"
"G3397","μικρόν","a (little) (while)"," a small space of time or degree","masculine or neuter singular of G3398 (μικρός) (as noun);"
"G2391","Ἰάρεδ","Jared"," Jared (i.e. Jered), an antediluvian","of Hebrew origin (H03382);"
"G4989","Σωσίπατρος","Sosipater"," Sosipatrus, a Christian","prolongation for G4986 (Σώπατρος);"
"G5320","φανερῶς","evidently, openly"," plainly, i.e. clearly or publicly","adverb from G5318 (φανερός);"
"G3863","παραζηλόω","provoke to emulation (jealousy)"," to stimulate alongside, i.e. excite to rivalry","from G3844 (παρά) and G2206 (ζηλόω);"
"G1788","ἐντρέπω","regard, (give) reference, shame"," to invert, i.e. (figuratively and reflexively) in a good sense, to respect; or in a bad one, to confound","from G1722 (ἐν) and the base of G5157 (τροπή);"
"G494","Ἀντιπατρίς","Antipatris"," Antipatris, a place in Palestine","from the same as G493 (Ἀντίπας);"
"G1771","ἔννοια","intent, mind"," thoughtfulness, i.e. moral understanding","from a compound of G1722 (ἐν) and G3563 (νοῦς);"
"G5016","ταραχή","trouble(-ing)"," disturbance, i.e. (of water) roiling, or (of a mob) sedition","feminine from G5015 (ταράσσω);"
"G1463","ἐγκομβόομαι","be clothed with"," to engirdle oneself (for labor), i.e. figuratively (the apron as being a badge of servitude) to wear (in token of mutual deference)","middle voice from G1722 (ἐν) and (to gird);"
"G853","ἀφανίζω"," corrupt, disfigure, perish, vanish away"," to render unapparent, i.e. (actively) consume (becloud), or (passively) disappear (be destroyed)","from G852 (ἀφανής);"
"G1807","ἐξαιρέω","deliver, pluck out, rescue"," actively, to tear out; middle voice, to select; figuratively, to release","from G1537 (ἐκ) and G138 (αἱρέομαι);"
"G2447","ἰός","poison, rust"," rust (as if emitted by metals); also venom (as emitted by serpents)","perhaps from (to go) or (to send);"
"G730","ἄῤῥην","male, man"," male (as stronger for lifting)","probably from G142 (αἴρω);"
"G5031","ταχινός","shortly, swift"," curt, i.e. impending","from G5034 (τάχος);"
"G2789","κιθαρίζω","harp"," to play on a lyre","from G2788 (κιθάρα);"
"G4595","σήπω","be corrupted"," to putrefy, i.e. (figuratively) perish","apparently a primary verb;"
"G3150","ματαιολογία","vain jangling"," random talk, i.e. babble","from G3151 (ματαιολόγος);"
"G1851","ἐξοχή","principal"," prominence (figuratively)","from a compound of G1537 (ἐκ) and G2192 (ἔχω) (meaning to stand out);"
"G3705","ὅραμα","sight, vision"," something gazed at, i.e. a spectacle (especially supernatural)","from G3708 (ὁράω);"
"G4436","Πύθων"," divination"," a Python, i.e. (by analogy, with the supposed diviner there) inspiration (soothsaying)","from (the name of the region where Delphi, the seat of the famous oracle, was located);"
"G4718","σταφυλή","grapes"," a cluster of grapes (as if intertwined)","probably from the base of G4735 (στέφανος);"
"G4640","σκιρτάω","leap (for joy)"," to jump, i.e. sympathetically move (as the quickening of a fetus)","akin to (to skip);"
"G3396","μίγνυμι","mingle"," to mix","a primary verb;"
"G511","ἀνώτερος","above, higher"," upper, i.e. (neuter as adverb) to a more conspicuous place, in a former part of the book","comparative degree of G507 (ἄνω);"
"G4234","πρᾶξις","deed, office, work"," practice, i.e. (concretely) an act; by extension, a function","from G4238 (πράσσω);"
"G1738","ἔνδικος","just"," in the right, i.e. equitable","from G1722 (ἐν) and G1349 (δίκη);"
"G1486","ἔθω","be custom (manner, wont)"," to be used (by habit or conventionality); neuter perfect participle usage","a primary verb;"
"G3132","μαντεύομαι","by soothsaying"," to divine, i.e. utter spells (under pretense of foretelling","from a derivative of G3105 (μαίνομαι) (meaning a prophet, as supposed to rave through inspiration);"
"G2332","Θεσσαλονίκη","Thessalonica"," Thessalonice, a place in Asia Minor","from (a Thessalian) and G3529 (νίκη);"
"G4757","στρατιώτης","soldier"," a camper-out, i.e. a (common) warrior (literally or figuratively)","from a presumed derivative of the same as G4756 (στρατιά);"
"G290","ἀμπελών","vineyard"," a vineyard","from G288 (ἄμπελος);"
"G2981","λαλιά","saying, speech"," talk","from G2980 (λαλέω);"
"G945","βαττολογέω","use vain repetitions"," to stutter, i.e. (by implication) to prate tediously","from (a proverbial stammerer) and G3056 (λόγος);"
"G1323","δίδραχμον","tribute"," a double drachma (didrachm)","from G1364 (δίς) and G1406 (δραχμή);"
"G148","αἰσχρολογία","filthy communication"," vile conversation","from G150 (αἰσχρός) and G3056 (λόγος);"
"G3552","νοσέω","dote"," to be sick, i.e. (by implication, of a diseased appetite) to hanker after (figuratively, to harp upon)","from G3554 (νόσος);"
"G5119","τότε","that time, then"," the when, i.e. at the time that (of the past or future, also in consecution)","from (the neuter of) G3588 (ὁ) and G3753 (ὅτε);"
"G2367","θύϊνος","thyine"," denoting a certain fragrant tree); made of citron-wood","from a derivative of G2380 (θύω) (in the sense of blowing;"
"G2006","ἐπιτήδειος","things which are needful"," serviceable, i.e. (by implication) requisite","from (enough);"
"G3679","ὀνειδίζω","cast in teeth, (suffer) reproach, revile, upbraid"," to defame, i.e. rail at, chide, taunt","from G3681 (ὄνειδος);"
"G5087","τίθημι","+ advise, appoint, bow, commit, conceive, give, X kneel down, lay (aside, down, up), make, ordain, purpose, put, set (forth), settle, sink down"," to place (in the widest application, literally and figuratively; properly, in a passive or horizontal posture, and thus different from G2476 (ἵστημι), which properly denotes an upright and active position, while G2749 (κεῖμαι) is properly reflexive and utterly prostrate)","a prolonged form of a primary (which is used only as alternate in certain tenses);"
"G3007","λείπω","be destitute (wanting), lack"," to leave, i.e. (intransitively or passively) to fail or be absent","a primary verb;"
"G2153","εὐσεβῶς","godly"," piously","adverb from G2152 (εὐσεβής);"
"G513","ἀξίνη","axe"," compare G4486 (ῥήγνυμι)); an axe","probably from (to break;"
"G4547","σανδάλιον","sandal"," of uncertain origin); a slipper or sole-pad","neuter of a derivative of (a ""sandal"";"
"G2108","εὐεργεσία","benefit, good deed done"," beneficence (genitive case or specially)","from G2110 (εὐεργέτης);"
"G2442","ἱμείρομαι","be affectionately desirous"," of uncertain affinity); to long for","middle voice from (a yearning;"
"G5482","χάραξ","trench"," akin to G1125 (γράφω) through the idea of scratching); a stake, i.e. (by implication) a palisade or rampart (military mound for circumvallation in a siege)","from (to sharpen to a point;"
"G3048","λογία","collection, gathering"," a contribution","from G3056 (λόγος) (in the commercial sense);"
"G1982","ἐπισκιάζω","overshadow"," to cast a shade upon, i.e. (by analogy) to envelop in a haze of brilliancy; figuratively, to invest with preternatural influence","from G1909 (ἐπί) and a derivative of G4639 (σκιά);"
"G2763","κεραμεύς","potter"," a potter","from G2766 (κέραμος);"
"G1926","ἐπιδέχομαι","receive"," to admit (as a guest or (figuratively) teacher)","from G1909 (ἐπί) and G1209 (δέχομαι);"
"G25","ἀγαπάω","(be-)love(-ed)"," to love (in a social or moral sense)","perhaps from (much) (or compare G5689);"
"G1205","δεῦτε","come, X follow"," come hither!","from G1204 (δεῦρο) and an imperative form of (to go);"
"G1728","ἐνάρχομαι","rule (by mistake for G757 (ἄρχω))"," to commence on","from G1722 (ἐν) and G756 (ἄρχομαι);"
"G2383","Ἰάειρος","Jairus"," Jairus (i.e. Jair), an Israelite","of Hebrew origin (H02971);"
"G2784","κηρύσσω","preacher(-er), proclaim, publish"," to herald (as a public crier), especially divine truth (the gospel)","of uncertain affinity;"
"G3197","Μελχί","Melchi"," Melchi (i.e. Malki), the name of two Israelites","of Hebrew origin (H04428 with pronominal suffix, my king);"
"G4670","Σόδομα","Sodom"," Sodoma (i.e. Sedom), a place in Palestine","plural of Hebrew origin (H05467);"
"G1143","δάκνω","bite"," to bite, i.e. (figuratively) thwart","a prolonged form of a primary root;"
"G2131","Εὐνίκη","Eunice"," victorious; Eunice, a Jewess","from G2095 (εὖ) and G3529 (νίκη);"
"G825","Ἀττάλεια","Attalia"," Attaleia, a place in Pamphylia","from (a king of Pergamus);"
"G1360","διότι","because (that), for, therefore"," on the very account that, or inasmuch as","from G1223 (διά) and G3754 (ὅτι);"
"G2903","κράτιστος","most excellent (noble)"," strongest, i.e. (in dignity) very honorable","superlative of a derivative of G2904 (κράτος);"
"G5139","Τραχωνῖτις","Trachonitis"," rough district; Trachonitis, a region of Syria","from a derivative of G5138 (τραχύς);"
"G5044","τεκνοτροφέω","bring up children"," to be a childrearer, i.e. fulfil the duties of a female parent","from a compound of G5043 (τέκνον) and G5142 (τρέφω);"
"G571","ἄπιστος","that believeth not, faithless, incredible thing, infidel, unbeliever(-ing)"," (actively) disbelieving, i.e. without Christian faith (specially, a heathen); (passively) untrustworthy (person), or incredible (thing)","from G1 (Α) (as a negative particle) and G4103 (πιστός);"
"G4719","στάχυς","ear (of corn)"," a head of grain (as standing out from the stalk)","from the base of G2476 (ἵστημι);"
"G5148","τριετία","space of three years"," a three years' period (triennium)","from a compound of G5140 (τρεῖς) and G2094 (ἔτος);"
"G3137","Μαρία"," Mary"," Maria or Mariam (i.e. Mirjam), the name of six Christian females","of Hebrew origin (H04813);"
"G5529","Χουζᾶς","Chuza"," Chuzas, an officer of Herod","of uncertain origin;"
"G2003","ἐπιταγή","authority, commandment"," an injunction or decree; by implication, authoritativeness","from G2004 (ἐπιτάσσω);"
"G709","ἀριστάω","dine"," to take the principle meal","from G712 (ἄριστον);"
"G3361","μή","any but (that), X forbear, + God forbid, + lack, lest, neither, never, no (X wise in), none, nor, (can-)not, nothing, that not, un(-taken), without"," (adverb) not, (conjunction) lest; also (as an interrogative implying a negative answer (whereas G3756 (οὐ) expects an affirmative one)) whether","a primary particle of qualified negation (whereas G3756 (οὐ) expresses an absolute denial);"
"G1530","εἰσπηδάω","run (spring) in"," to rush in","from G1519 (εἰς) and (to leap);"
"G4703","σπόρος","seed (X sown)"," a scattering (of seed), i.e. (concretely) seed (as sown)","from G4687 (σπείρω);"
"G1059","Γαμαλιήλ","Gamaliel"," Gamaliel (i.e. Gamliel), an Israelite","of Hebrew origin (H01583);"
"G4050","περισσεία","abundance(-ant, (-ly)), superfluity"," surplusage, i.e. superabundance","from G4052 (περισσεύω);"
"G4163","ποιητής","--doer, poet"," a performer; specially, a ""poet""; ","from G4160 (ποιέω);"
"G1848","ἐξουθενέω","contemptible, despise, least esteemed, set at nought","a variation of G1847 (ἐξουδενόω) and meaning the same"
"G3929","πάρεσις","remission"," praetermission, i.e. toleration","from G2935 (κτήτωρ);"
"G2115","εὔθυμος","of good cheer, the more cheerfully"," in fine spirits, i.e. cheerful","from G2095 (εὖ) and G2372 (θυμός);"
"G425","ἄνεσις","eased, liberty, rest"," relaxation or (figuratively) relief","from G447 (ἀνίημι);"
"G3842","πάντοτε","alway(-s), ever(-more)"," every when, i.e. at all times","from G3956 (πᾶς) and G3753 (ὅτε);"
"G5232","ὑπεραυξάνω","grow exceedingly"," to increase above ordinary degree","from G5228 (ὑπέρ) and G837 (αὐξάνω);"
"G2558","κακουχέω","which suffer adversity, torment"," to maltreat","from a presumed compound of G2556 (κακός) and G2192 (ἔχω);"
"G5579","ψεῦδος","lie, lying"," a falsehood","from G5574 (ψεύδομαι);"
"G2841","κοινωνέω","communicate, distribute, be partaker"," to share with others (objectively or subjectively)","from G2844 (κοινωνός);"
"G811","ἀσώτως","riotous"," dissolutely","adverb from the same as G810 (ἀσωτία);"
"G2965","κύων","dog"," a dog (""hound"") (literally or figuratively)","a primary word;"
"G5586","ψῆφος","stone, voice"," a pebble (as worn smooth by handling), i.e. (by implication, of use as a counter or ballot) a verdict (of acquittal) or ticket (of admission); a vote","from the same as G5584 (ψηλαφάω);"
"G4955","συστασιαστής","make insurrection with"," a fellow-insurgent","from a compound of G4862 (σύν) and a derivative of G4714 (στάσις);"
"G3867","παραινέω","admonish, exhort"," to mispraise, i.e. recommend or advise (a different course)","from G3844 (παρά) and G134 (αἰνέω);"
"G1081","γέννημα","fruit, generation"," offspring; by analogy, produce (literally or figuratively)","from G1080 (γεννάω);"
"G64","ἀγρεύω","catch"," to hunt, i.e. (figuratively) to entrap","from G61 (ἄγρα);"
"G4311","προπέμπω","accompany, bring (forward) on journey (way), conduct forth"," to send forward, i.e. escort or aid in travel","from G4253 (πρό) and G3992 (πέμπω);"
"G2787","κιβωτός","ark"," a box, i.e. the sacred ark and that of Noah","of uncertain derivation;"
"G4503","Ῥούθ","Ruth"," Ruth, a Moabitess","of Hebrew origin (H07327);"
"G2068","ἐσθίω","devour, eat, live"," used only in certain tenses, the rest being supplied by G5315 (φάγω); to eat (usually literal)","strengthened for a primary (to eat);"
"G49","ἁγνισμός","purification"," a cleansing (the act), i.e. (ceremonially) lustration","from G48 (ἁγνίζω);"
"G1127","γρηγορεύω","be vigilant, wake, (be) watch(-ful)"," to keep awake, i.e. watch (literally or figuratively)","from G1453 (ἐγείρω);"
"G528","ἀπαντάω","meet"," to meet away, i.e. encounter","from G575 (ἀπό) and a derivative of G473 (ἀντί);"
"G4610","Σιλουανός","Silvanus"," ""silvan""; Silvanus, a Christian","of Latin origin;"
"G1835","ἑξήκοντα","sixty(-fold), threescore"," sixty","the tenth multiple of G1803 (ἕξ);"
"G5078","τέχνη","art, craft, occupation"," art (as productive), i.e. (specially), a trade, or (generally) skill","from the base of G5088 (τίκτω);"
"G1382","δοκιμή","experience(-riment), proof, trial"," test (abstractly or concretely); by implication, trustiness","from the same as G1384 (δόκιμος);"
"G1857","ἐξώτερος","outer"," exterior","comparative of G1854 (ἔξω);"
"G597","ἀποθησαυρίζω","lay up in store"," to treasure away","from G575 (ἀπό) and G2343 (θησαυρίζω);"
"G4197","πορεία","journey(-ing), ways"," travel (by land); figuratively (plural) proceedings, i.e. career","from G4198 (πορεύομαι);"
"G331","ἀνάθεμα","accused, anathema, curse, X great"," a (religious) ban or (concretely) excommunicated (thing or person)","from G394 (ἀνατίθεμαι);"
"G1670","ἑλκύω","draw"," to drag (literally or figuratively)","probably akin to G138 (αἱρέομαι);"
"G3514","νήθω","spin"," to spin","from (of like meaning);"
"G3884","παραλογίζομαι","beguile, deceive"," to misreckon, i.e. delude","from G3844 (παρά) and G3049 (λογίζομαι);"
"G272","ἀμελέω","make light of, neglect, be negligent, no regard"," to be careless of","from G1 (Α) (as a negative particle) and G3199 (μέλω);"
"G5382","φιλόξενος","given to (lover of, use) hospitality"," fond of guests, i.e. hospitable","from G5384 (φίλος) and G3581 (ξένος);"
"G2705","καταφιλέω","kiss"," to kiss earnestly","from 2596 and 5368;"
"G2794","κίνδυνος","peril"," danger","of uncertain derivation;"
"G1288","διασπάω","pluck asunder, pull in pieces"," to draw apart, i.e. sever or dismember","from G1223 (διά) and G4685 (σπάω);"
"G5325","φαντασία","pomp"," (properly abstract) a (vain) show (""fantasy"")","from a derivative of G5324 (φαντάζω);"
"G4392","πρόφασις","cloke, colour, pretence, show"," an outward showing, i.e. pretext","from a compound of G4253 (πρό) and G5316 (φαίνω);"
"G1319","διδασκαλία","doctrine, learning, teaching"," instruction (the function or the information)","from G1320 (διδάσκαλος);"
"G1270","διανόημα","thought"," something thought through, i.e. a sentiment","from a compound of G1223 (διά) and G3539 (νοιέω);"
"G4403","πρύμνα","hinder part, stern"," the stern of a ship","feminine of (hindmost);"
"G991","βλέπω","behold, beware, lie, look (on, to), perceive, regard, see, sight, take heed"," to look at (literally or figuratively)","a primary verb;"
"G4959","συστενάζω","groan together"," to moan jointly, i.e. (figuratively) experience a common calamity","from G4862 (σύν) and G4727 (στενάζω);"
"G5160","τροφή","food, meat"," nourishment (literally or figuratively); by implication, rations (wages)","from G5142 (τρέφω);"
"G3131","μάννα","manna"," manna (i.e. man), an edible gum","of Hebrew origin (H04478);"
"G1653","ἐλεέω","have compassion (pity on), have (obtain, receive, shew) mercy (on)"," to compassionate (by word or deed, specially, by divine grace)","from G1656 (ἔλεος);"
"G726","ἁρπάζω","catch (away, up), pluck, pull, take (by force)"," to seize (in various applications)","from a derivative of G138 (αἱρέομαι);"
"G5373","φιλία","friendship"," fondness","from G5384 (φίλος);"
"G592","ἀποδιορίζω","separate"," to disjoin (by a boundary, figuratively, a party)","from G575 (ἀπό) and a compound of G223 (Ἀλέξανδρος) and G3724 (ὁρίζω);"
"G2906","κραυγή","clamour, cry(-ing)"," an outcry (in notification, tumult or grief)","from G2896 (κράζω);"
"G1739","ἐνδόμησις","building"," a housing in (residence), i.e. structure","from a compound of G1722 (ἐν) and a derivative of the base of G1218 (δῆμος);"
"G2904","κράτος","dominion, might(-ily), power, strength"," vigor (""great"") (literally or figuratively)","perhaps a primary word;"
"G2342","θηρίον","(venomous, wild) beast"," a dangerous animal","diminutive from the same as G2339 (θήρα);"
"G1716","ἐμπτύω","spit (upon)"," to spit at or on","from G1722 (ἐν) and G4429 (πτύω);"
"G5533","χρεωφειλέτης","debtor"," a loan-ower, i.e. indebted person","from a derivative of G5531 (χράω) and G3781 (ὀφειλέτης);"
"G5470","χάλκεος","brass"," coppery","from G5475 (χαλκός);"
"G2668","καταπλέω","arrive"," to sail down upon a place, i.e. to land at","from G2596 (κατά) and G4126 (πλέω);"
"G4393","προφέρω","bring forth"," to bear forward, i.e. produce","from G4253 (πρό) and G5342 (φέρω);"
"G1555","ἐκδιηγέομαι","declare"," to narrate through wholly","from G1537 (ἐκ) and a compound of G1223 (διά) and G2233 (ἡγέομαι);"
"G2087","ἕτερος","altered, else, next (day), one, (an-)other, some, strange"," (an-, the) other or different","of uncertain affinity;"
"G235","ἀλλά","and, but (even), howbeit, indeed, nay, nevertheless, no, notwithstanding, save, therefore, yea, yet"," properly, other things, i.e. (adverbially) contrariwise (in many relations)","neuter plural of G243 (ἄλλος);"
"G2272","ἡσύχιος","peaceable, quiet"," properly, keeping one's seat (sedentary), i.e. (by implication) still (undisturbed, undisturbing)","a prolonged form of a compound probably of a derivative of the base of G1476 (ἑδραῖος) and perhaps G2192 (ἔχω);"
"G1687","ἐμβατεύω","intrude into"," equivalent to G1684 (ἐμβαίνω); to intrude on (figuratively)","from G1722 (ἐν) and a presumed derivative of the base of G939 (βάσις);"
"G5121","τοὐναντίον","contrariwise"," on the contrary","contraction for the neuter of G3588 (ὁ) and G1726 (ἐναντίον);"
"G4000","πεντακισχίλιοι","five thousand"," five times a thousand","from G3999 (πεντάκις) and G5507 (χίλιοι);"
"G2730","κατοικέω","dwell(-er), inhabitant(-ter)"," to house permanently, i.e. reside (literally or figuratively)","from G2596 (κατά) and G3611 (οἰκέω);"
"G94","ἄδικος","unjust, unrighteous"," unjust; by extension wicked; by implication, treacherous; specially, heathen","from G1 (Α) (as a negative particle) and G1349 (δίκη);"
"G508","ἀνώγεον","upper room"," above the ground, i.e. (properly) the second floor of a building; used for a dome or a balcony on the upper story","from G507 (ἄνω) and G1093 (γῆ);"
"G3072","Λυκαονιστί","in the speech of Lycaonia"," Lycaonistically, i.e. in the language of the Lycaonians","adverb from a derivative of G3071 (Λυκαονία);"
"G4161","ποίημα","thing that is made, workmanship"," a product, i.e. fabric (literally or figuratively)","from G4160 (ποιέω);"
"G4376","προσφορά","offering (up)"," presentation; concretely, an oblation (bloodless) or sacrifice","from G4374 (προσφέρω);"
"G2793","κινδυνεύω","be in danger, be (stand) in jeopardy"," to undergo peril","from G2794 (κίνδυνος);"
